N° de Bien | Descripcion
PGEB-BM-364 | ARCHIVO METALICOS, COLOR MARRON, DE 4 GAVETAS CON CERRADURA, MOD.: S/N, SER.: S/N	
PGEB-BM-419 | ARCHIVO METALICOS DE CUATRO GAVETAS COLOR GRIS, MOD.: S/N, SER.: S/N	
PGEB-BM-463 | ARCHIVO METALICOS COLOR MARRON, DE 4 GAVETAS CON CERRADURA, MOD.: S/N, SER: S/N
PGEB-BM-467 | ARCHIVO METALICO 0,70X0,46X1, 35, 4 GAVETAS, COLOR MARRON CON CERRADURA, MOD.: S/N, SER.: S/N		
PGEB-BM-475 | ARCHIVO METALICO 4 GAVETAS, COLOR NEGRO CON CERRADURA, MARCA OFISIT, MOD.: S/N, SER.S/N	
PGEB-BM-56 | ARCHIVADORES EN METAL, CUATRO (4) GAVETAS, CON CERRADURA

PGEB-BM-57 | ARCHIVADORES EN METAL, CUATRO (4) GAVETAS, CON CERRADURA	
PGEB-BM-58 | ARCHIVADORES EN METAL, CUATRO (4) GAVETAS, CON CERRADURA	
PGEB-BM-6 | ARCHIVO DE METAL 4 GAVETAS, COLOR NEGRO CON CERRADURA
PGEB-BM-379 | TELEFONERA EN FORMICA PALO DE ROSA CON PUERTAS CORREDIZAS DE 1 ,20 X 0,70 X 0,45, MOD.: S/N, SER: S/N	
PGEB-BM-424 | ARCHIVO METALICO DE CUATRO GAVETAS COLOR MARRON, C/CERRADURA, MOD.: S/N, SER.: S/N	
49628 | BRAZO HIDRAULICO INSTALADO, MOD.: S/N, SER.: S/N	
BU-162 | TECLADO MEGAPOWER, COLOR NEGRO
BU-161 | MOUSE OPTICAL, MARCA LENOVO, COLOR NEGRO CON GRIS
BU-163 | MOUSE TECNOPARTS, MODELO TEP-800, COLOR NEGRO.
BU-87 | GRAPADORA METALICA STAPLER, MARCA OFFICE, COLOR AZUL
52303-1 | BANDEJA ACRILICA 2 NIVELES
158624 | TECLADO GENIUS PS/2, COLOR NEGRO	
PGEB-BM-465 | AIRE ACONDICIONADO TIPO SPLIT, MARCA TEMPCO, 2 TONELADAS, MOTOR 1,8, MOD.: UCC18H1, SER.: 	0796143	
PGEB-BM-130 | AIRE ACONDICIONADO TIPO SPLIT, MARCA AKARD 18,000 BTU+
PGEB-BM-385 | FOTOCOPIADORA XEROX, CON 2 BANDEJAS Y MESA DE PEDESTAL, MOD.: 5614 , SER.: N? 4KV086784	
PGEB-BM-436 | ESCRITORIO EN FORMICA  PALO DE ROSA DE 1,20 MTS 2 PUERTAS C/CERRADURA, MOD.: S/N, SER.: S/N	
PGEB-BM-169 | IMPRESORA LASER 1006 MONOCROMATICA	
PGEB-BM-484 | CPU (COMBO COUPENTIUM IV 1 .8 GHZ, SOC 478/512 KB, HD DE 40 GB, DIMM 256MB, UNIDAD DE CD 52X LG, FLOPPY 3 1/2.
PGEB-BM-149 | SILLA EJECUTIVA PISA SAFA, COLOR AZUL	
PGEB-BM-485 | MONITOR 15", MARCA LG, SVGA, MOD.: S/N, SER: S/N	
PGEB-BM-342 | ARCHIVO METALICOS, LINEA GRIS, 4 GAVETAS, MOD.: S/N, SER: S/N
66504 | CORNETAS MULTIMEDIA SPEAKER SYSTEM 185W, MOD.: S/N, SER: S/N
PGEB-BM-936 | ARCHIVO DE METAL MARCA SAFA DE 4 GABETAS COLOR MARRON
156063-5 | PERSIANA VERTICAL 2 C/RIEL	
120084 | COMBO TECLADO PS/2 101  TECLAS, COLOR NEGRO Y MOUSE
PGEB-BM-198 | MICROONDA MARCA SHARP, COLOR BLANCO,0,8C.F, MOD.: R-231NW, SER: 090506211
PGEB-BM-458 | MESA PARA COMPUTADORA, EN FORMICA, PALO DE ROSA, COD 123, MOD.: COD. 123, SER: S/N	
PGEB-BM-387 | MUEBLE EN FORMICA PALO DE ROSA CI2 COMPART. C/PUERTAS Y CON CERRADURAS ARRIBA Y ABAJO, DE 2,05 X 0,70 X 0,45 PARA CAFETERA, MOD.: S/N, SER: S/N
PGEB-BM-473 | MICROONDA MARCA DAEWOO, COLOR BLANCO, MOD.: KOR-630A, SER: 10304895
PGEB-BM-272 | CAFETERA 12 TAZAS PROGRAMABLE MARCA OSTER COLOR NEGRA
PGEB-BM-509 | LICUADORA OSTER DA/ASO, MOD.: PL-7V, SER.:
PGEB-BM-156 | SILLA VISITANTE ISOCELES, COLOR AZUL
PGEB-BM-354 | SILLA VISITANTE EN SEMICUERO MARRON, SIN BRAZOS LINEA CROMADA, MOD.: S/N, SER: S/N	
PGEB-BM-394 | SILLA VISITANTE EN SEMICUERO MARRON, LINEA CROMADA, MOD.: S/N, SER.: S/N	
PGEB-BM-444 | SILLAS VISITANTE EN SEMICUERO S/BRAZOS,LINEA CROMADA, MOD.:S/N, SER:S/N	
PGEB-BM-428 | SILLA VISITANTE EN SEMI CUERO MARRON LINEA CROMADA, SIN BRAZOS, MOD.: S/N, SER: S/N	
